latitude,longitude,address,year,bedrooms,full_bth,half_bth,square_foot,res,condo,yr_built,bldg_price,land_price
42.233844,-71.132096,58 60 HAMILTON ST 02136,2011,4,2,1,6000,1,0,1900,206100,120500
42.233934,-71.132045,56 54 HAMILTON ST 02136,2011,6,2,0,6000,1,0,1920,191500,116700
42.233939,-71.133696,    HYDE PARK AV 02136,2011,6,3,0,5250,1,0,2001,216800,105400
42.233939,-71.133696,    HYDE PARK AV 02136,2011,4,3,0,5357,1,0,2003,248500,102900
42.233939,-71.133696,    HYDE PARK AV 02136,2011,3,2,1,5125,1,0,1991,155000,104800
42.23446,-71.13072,32 32A CLIFFORD ST 02136,2011,5,2,0,6000,1,0,1927,179600,132600
42.234471,-71.133426,1891 1893 HYDE PARK AV 02136,2011,4,2,2,7500,1,0,1920,239300,125300
42.234744,-71.130564,26 28 CLIFFORD ST 02136,2011,6,2,0,5979,1,0,1920,214200,126600
42.23498,-71.13321,1875 1877 HYDE PARK AV 02136,2011,6,3,0,5000,1,0,1920,293400,110700
42.23532,-71.12899,    FORESTVALE RD 02136,2011,2,1,0,7100,1,0,1985,215500,130900
42.23538,-71.12921,    LAWTON ST 02136,2011,5,2,0,7463,1,0,1996,231700,134000
42.23573,-71.13062,15 15A CLIFFORD ST 02136,2011,6,2,0,6000,1,0,1910,178300,118400
42.23586,-71.13056,9 11 CLIFFORD ST 02136,2011,3,2,1,1601,0,1,1900,270300,0
42.23586,-71.13056,9 11 CLIFFORD ST 02136,2011,4,2,1,1601,0,1,1900,275300,0
42.23597,-71.12604,294 296 NEPONSET VALLEY PW 02136,2011,4,2,0,4484,1,0,1920,209500,114300
42.236012,-71.130636,    CLIFFORD ST 02136,2011,4,1,1,6000,1,0,1992,217500,144100
42.236071,-71.133087,    PRESCOTT ST 02136,2011,4,2,1,5000,1,0,2008,317800,108800
42.23654,-71.13131,    HAMILTON ST 02136,2011,3,1,1,6000,1,0,1993,204400,116700
42.236671,-71.132855,14 16 PRESCOTT ST 02136,2011,6,2,0,5000,1,0,1903,204400,109500
42.23714,-71.13098,208 208A NEPONSET VALLEY PW 02136,2011,3,1,1,2730,1,0,1910,133500,93300
42.23728,-71.130631,7 9 YUILL CI 02136,2011,6,2,0,4000,1,0,1906,240100,101800
42.237479,-71.129966,    YUILL CI 02136,2011,4,2,1,7845,1,0,2004,246600,132800
42.238219,-71.13018,22 20 WOLCOTT ST 02136,2011,6,2,0,7519,1,0,1900,189400,128700
42.23861,-71.13824,75 R W MILTON ST 02136,2011,2,1,0,11146,1,0,1920,89280,143640
42.238784,-71.138609,71 73 W MILTON ST 02136,2011,7,4,0,13400,1,0,1906,207720,156330
42.239239,-71.139448,57-59   W MILTON ST 02136,2011,6,2,0,9625,1,0,1930,187000,155800
42.239261,-71.139663,55 W  MILTON ST 02136,2011,3,2,1,1676,0,1,2005,296300,0
42.23957,-71.14055,47 HF W MILTON ST 02136,2011,3,2,0,13676,1,0,1960,135000,167400
42.23968,-71.14164,37 R W MILTON ST 02136,2011,4,2,1,3792,1,0,1930,186300,101600
42.23974,-71.141083,39 -41 W MILTON ST 02136,2011,6,2,0,8018,1,0,1930,188700,141500
42.240098,-71.142128,    W MILTON ST 02136,2011,3,2,1,6277,1,0,2004,242200,122100
42.240098,-71.142128,    W MILTON ST 02136,2011,3,1,1,5054,1,0,1997,180600,113800
42.24038,-71.140548,    COMO RD 02136,2011,4,2,1,5000,1,0,1998,299000,112100
42.24038,-71.140548,    COMO RD 02136,2011,3,1,1,5000,1,0,1986,116700,116000
42.24048,-71.14128,    VALLARO RD 02136,2011,3,2,1,5829,1,0,1996,222100,118000
42.240488,-71.141995,28 30 W MILTON ST 02136,2011,5,2,0,6000,1,0,1920,193400,128000
42.240528,-71.135298,126 128 READVILLE ST 02136,2011,5,1,0,2214,0,1,1915,187100,0
42.240528,-71.135298,126 128 READVILLE ST 02136,2011,5,1,0,2214,0,1,1915,187100,0
42.240657,-71.135223,122 124 READVILLE ST 02136,2011,4,2,0,1629,0,1,1915,213200,0
42.240657,-71.135223,122 124 READVILLE ST 02136,2011,4,2,0,1629,0,1,1915,221000,0
42.24067,-71.13468,24 20 CHESTERFIELD ST 02136,2011,3,2,0,11900,1,0,1910,145500,182800
42.24071,-71.1403,64 66 COMO RD 02136,2011,6,2,0,5692,1,0,1919,159900,128700
42.24073,-71.13356,    NEPONSET VALLEY PW 02136,2011,2,1,0,18190,1,0,1984,88900,175700
42.24073,-71.13356,    NEPONSET VALLEY PW 02136,2011,3,1,1,7224,1,0,1986,215300,135300
42.24073,-71.13356,    NEPONSET VALLEY PW 02136,2011,4,2,1,7021,1,0,2004,235600,128100
42.24073,-71.13356,    NEPONSET VALLEY PW 02136,2011,3,2,1,6114,1,0,1999,211500,147300
42.24109,-71.13819,30 28 DANNY RD 02136,2011,4,2,0,5000,1,0,1927,196200,121100
42.24146,-71.13852,    EDSON ST 02136,2011,4,2,2,7100,1,0,1986,198000,127000
42.241486,-71.136081,49 51 CHESTERFIELD ST 02136,2011,6,2,0,11225,1,0,1898,227200,151200
42.241487,-71.138926,    DANNY RD 02136,2011,3,2,0,5000,1,0,2004,259100,112100
42.241487,-71.138926,    DANNY RD 02136,2011,6,4,0,5420,1,0,1998,338300,113700
42.2416,-71.13646,    CHESTERFIELD ST 02136,2011,4,2,1,6000,1,0,1989,238200,119200
42.2416,-71.13646,    CHESTERFIELD ST 02136,2011,3,1,1,6000,1,0,1985,197500,119400
42.2416,-71.13646,    CHESTERFIELD ST 02136,2011,4,1,1,13105,1,0,1989,208400,166100
42.242011,-71.143348,  ERNEST AV 02136,2011,4,2,1,5014,1,0,2006,236900,115900
42.242277,-71.134211,94 94A READVILLE ST 02136,2011,4,2,0,7657,1,0,1920,201500,135500
42.24264,-71.13336,9 11 ALBEMARLE ST 02136,2011,6,3,0,8633,1,0,1890,239500,140800
42.2429,-71.1353,10 12 MCDONOUGH CT 02136,2011,7,2,0,8651,1,0,1950,188400,138000
42.24305,-71.13387,78 80 READVILLE ST 02136,2011,2,1,0,8310,1,0,1830,247770,123390
42.243084,-71.143959,1911 1913 RIVER ST 02136,2011,5,2,0,7542,1,0,1908,152065,113475
42.24331,-71.13926,1820 1822 RIVER ST 02136,2011,5,2,0,13117,1,0,1910,234900,178900
42.243376,-71.137534,33 35 NORTON ST 02136,2011,6,2,2,5000,1,0,1910,194000,122800
42.24338,-71.13418,75 HF75 READVILLE ST 02136,2011,3,1,0,6054,1,0,1900,159660,113670
42.24344,-71.13808,40 42 NORTON ST 02136,2011,2,2,0,5000,1,0,1910,163200,113300
42.24353,-71.13877,1812 1814 RIVER ST 02136,2011,4,2,0,5000,1,0,1910,159200,123900
42.24353,-71.13816,44 46 NORTON ST 02136,2011,4,3,0,5000,1,0,1910,202700,113400
42.24358,-71.122309,26 24 WASHINGTON STREET PL 02136,2011,5,2,0,5402,1,0,1890,140900,113900
42.243691,-71.123898,166 164 WASHINGTON ST 02136,2011,5,3,1,6000,1,0,1900,175100,115900
42.24379,-71.13977,1825 1827 RIVER ST 02136,2011,4,2,0,6192,1,0,1920,133200,114000
42.24379,-71.12369,162 160 WASHINGTON ST 02136,2011,6,2,0,6000,1,0,1900,176100,119000
42.24382,-71.12127,    WOODGLEN RD 02136,2011,3,2,0,5376,1,0,1987,157100,112600
42.24382,-71.12127,    WOODGLEN RD 02136,2011,4,2,1,6372,1,0,1986,156300,118200
42.24386,-71.13405,69 69A READVILLE ST 02136,2011,4,1,2,18922,1,0,1899,136200,175400
42.244015,-71.122785,8 10 WASHINGTON STREET PL 02136,2011,4,2,1,5488,1,0,1900,162700,114700
42.244063,-71.137706,1746 1748 RIVER ST 02136,2011,5,2,0,5000,1,0,1910,209781,112959
42.244154,-71.136727,19 21 IMBARO RD 02136,2011,6,3,0,5000,1,0,1920,228000,115800
42.244285,-71.133461,58 60 NEPONSET VALLEY PW 02136,2011,4,2,0,11063,1,0,1940,138700,152100
