latitude,longitude,address,year,bedrooms,full_bth,half_bth,square_foot,res,condo,yr_built
42.3794,-71.0326,104 A 104 PUTNAM ST 02128,2021,6,3,0,1150,1,0,1900
42.37949,-71.03223,205 207 LEXINGTON ST 02128,2021,9,3,0,2500,1,0,1900
42.37952,-71.03215,209 211 LEXINGTON ST 02128,2021,8,4,1,2500,1,0,1900
42.379873,-71.030807,243 HF LEXINGTON ST 02128,2021,3,1,0,1238,1,0,1910
42.3797,-71.03046,37 39 PRESCOTT ST 02128,2021,9,3,0,1700,1,0,1910
42.37947,-71.03118,238 R238 PRINCETON ST 02128,2021,3,1,0,2500,1,0,1880
42.37947,-71.03118,238 R238 PRINCETON ST 02128,2021,5,3,0,2500,1,0,1900
42.378829,-71.029473,68 70 PRESCOTT ST 02128,2021,4,2,0,1175,1,0,1910
42.37889,-71.02951,62 A62 PRESCOTT ST 02128,2021,4,2,0,1175,1,0,1910
42.37901,-71.02952,403 405 SARATOGA ST 02128,2021,3,2,0,1325,1,0,1920
42.37927,-71.02876,427 A427 SARATOGA ST 02128,2021,6,2,0,3125,1,0,1910
42.37931,-71.02866,429 A429 SARATOGA ST 02128,2021,6,2,0,3125,1,0,1910
42.37936,-71.028561,431 A431 SARATOGA ST 02128,2021,9,3,0,3125,1,0,1910
42.379395,-71.02846,433 A433 SARATOGA ST 02128,2021,9,3,0,2907,1,0,1910
42.379773,-71.029443,267 269 PRINCETON ST 02128,2021,8,3,0,4000,1,0,1900
42.3802,-71.02847,1 2 LAWSON PL 02128,2021,4,2,1,1606,1,0,1905
42.37967,-71.02903,426 R SARATOGA ST 02128,2021,2,1,1,1250,1,0,1860
42.377108,-71.038382,    LEXINGTON ST 02128,2021,6,3,0,5000,1,0,2015
42.3808,-71.02838,305 R LEXINGTON ST 02128,2021,4,1,0,1718,1,0,1900
42.38019,-71.02927,288 R288 PRINCETON ST 02128,2021,6,3,0,2500,1,0,1890
42.380237,-71.029634,278 R PRINCETON ST 02128,2021,2,1,0,1093,1,0,1900
42.38086,-71.03036,225 227 TRENTON ST 02128,2021,4,3,0,5000,1,0,1900
42.38086,-71.02954,282 A LEXINGTON ST 02128,2021,8,3,0,2575,1,0,1900
42.38117,-71.02794,2 4 SHELBY ST 02128,2021,6,3,0,1151,1,0,1890
42.38095,-71.02764,342 R342 PRINCETON ST 02128,2021,3,2,0,3100,1,0,1900
42.38095,-71.02764,342 R342 PRINCETON ST 02128,2021,3,1,0,3100,1,0,1900
42.38074,-71.02765,18 20 SHELBY ST 02128,2021,6,3,0,1250,1,0,1930
42.380634,-71.026586,432 R432 CHELSEA ST 02128,2021,2,1,0,1781,1,0,1915
42.380634,-71.026586,432 R432 CHELSEA ST 02128,2021,2,1,0,1781,1,0,1915
42.38046,-71.02678,426 A426 CHELSEA ST 02128,2021,6,3,0,2117,1,0,1900
42.380517,-71.027501,26 28 SHELBY ST 02128,2021,6,3,0,1250,1,0,1900
42.37878,-71.02804,301 299 BENNINGTON ST 02128,2021,9,3,0,1634,1,0,1905
42.37895,-71.02764,319 A319 BENNINGTON ST 02128,2021,2,2,1,1000,1,0,1899
42.37813,-71.02837,364 A BREMEN ST 02128,2021,6,3,0,3750,1,0,1910
42.38124,-71.02271,460 A460 BENNINGTON ST 02128,2021,3,2,0,2500,1,0,1910
42.38707,-71.00871,960 962 SARATOGA ST 02128,2021,5,3,0,4000,1,0,1915
42.38543,-71.01897,14 16 WORDSWORTH ST 02128,2021,5,2,0,5000,1,0,1910
42.38555,-71.01783,95 97 ADDISON ST 02128,2021,3,1,1,6000,1,0,1998
42.38544,-71.01728,113 -115 ADDISON ST 02128,2021,2,2,1,1729,0,1,2003
42.38544,-71.01728,113 -115 ADDISON ST 02128,2021,2,3,1,1729,0,1,2003
42.3844,-71.01582,798 804A SARATOGA ST 02128,2021,6,3,0,3087,1,0,1939
42.383365,-71.018684,718 720 SARATOGA ST 02128,2021,6,3,0,1618,1,0,1894
42.38334,-71.01875,714 716 SARATOGA ST 02128,2021,6,3,0,1382,1,0,1920
42.38435,-71.01875,71 75 BYRON ST 02128,2021,2,1,0,5100,1,0,1910
42.384126,-71.017728,93 95 BYRON ST 02128,2021,3,3,0,5930,1,0,1910
42.38317,-71.01921,708 708A SARATOGA ST 02128,2021,4,2,0,3700,1,0,1950
42.382999,-71.019735,690 692 SARATOGA ST 02128,2021,5,2,0,5000,1,0,1875
42.38313,-71.02021,35 R CHAUCER ST 02128,2021,2,2,0,2500,1,0,1905
42.38351,-71.01948,55 57 CHAUCER ST 02128,2021,7,3,0,4060,1,0,1910
42.38351,-71.01948,55 57 CHAUCER ST 02128,2021,1,1,0,4060,1,0,1960
42.382197,-71.021806,630 632 SARATOGA ST 02128,2021,6,3,0,2375,1,0,1899
42.382175,-71.021868,628 626 SARATOGA ST 02128,2021,4,2,0,2299,1,0,1890
42.382145,-71.021949,622 624 SARATOGA ST 02128,2021,4,2,0,2394,1,0,1890
42.382103,-71.022048,618 620 SARATOGA ST 02128,2021,4,2,0,1600,1,0,1890
42.382073,-71.022135,614 616 SARATOGA ST 02128,2021,6,2,0,1589,1,0,1890
42.38204,-71.02221,610 612 SARATOGA ST 02128,2021,3,2,0,1329,1,0,1900
42.382,-71.02227,606 608 SARATOGA ST 02128,2021,2,2,0,1056,1,0,1890
42.38196,-71.02236,602 604 SARATOGA ST 02128,2021,3,1,0,785,1,0,1890
42.38238,-71.02046,665 667 SARATOGA ST 02128,2021,5,2,1,2500,1,0,1900
42.38222,-71.02087,653 R653 SARATOGA ST 02128,2021,7,3,0,2500,1,0,1890
42.3821,-71.01827,78 R78 MOORE ST 02128,2021,2,1,0,2500,1,0,1910
42.382575,-71.017882,575 577 BENNINGTON ST 02128,2021,5,2,0,2040,1,0,1900
42.382711,-71.017504,587 589 BENNINGTON ST 02128,2021,5,2,0,2500,1,0,1900
42.382743,-71.017424,591 593 BENNINGTON ST 02128,2021,4,2,0,2500,1,0,1922
42.38356,-71.01661,127 129 BYRON ST 02128,2021,9,3,0,2500,1,0,1839
42.383313,-71.017101,606 608 BENNINGTON ST 02128,2021,4,1,0,2500,1,0,1900
42.38338,-71.01564,641 A641 BENNINGTON ST 02128,2021,9,3,0,4000,1,0,1910
42.3836,-71.01508,653 655 BENNINGTON ST 02128,2021,7,3,0,1825,1,0,1925
42.38478,-71.01402,839 A839 SARATOGA ST 02128,2021,5,2,0,5000,1,0,1900
